IPTGuM,repressors,operator,mean,sem,bohr_parameter,author,mutant
0,22,O1,0.040002747,0.003142822,-3.038427847,razo-mejia,wt
0,22,O2,0.166099205,0.005008094,-1.638427847,razo-mejia,wt
0,22,O3,0.933363263,0.028558756,2.561572153,razo-mejia,wt
0,60,O1,0.013524487,0.000875841,-4.041729956,razo-mejia,wt
0,60,O2,0.042516538,0.002418607,-2.641729956,razo-mejia,wt
0,60,O3,0.853921457,0.023157033,1.558270044,razo-mejia,wt
0,124,O1,0.007974315,0.001077034,-4.767666959,razo-mejia,wt
0,124,O2,0.026806526,0.001197494,-3.367666959,razo-mejia,wt
0,124,O3,0.785365394,0.025490471,0.832333041,razo-mejia,wt
0,260,O1,0.006817911,0.000832428,-5.508067025,razo-mejia,wt
0,260,O2,0.014971801,0.000810365,-4.108067025,razo-mejia,wt
0,260,O3,0.623594187,0.028069479,0.091932975,razo-mejia,wt
0,1220,O1,0.004854386,0.001726827,-7.053991531,razo-mejia,wt
0,1220,O2,0.006505212,0.000767406,-5.653991531,razo-mejia,wt
0,1220,O3,0.232415724,0.009821638,-1.453991531,razo-mejia,wt
0,1740,O1,0.007161181,0.002153831,-7.409025786,razo-mejia,wt
0,1740,O2,0.006375903,0.000847636,-6.009025786,razo-mejia,wt
0,1740,O3,0.181273159,0.007999791,-1.809025786,razo-mejia,wt
0.1,22,O1,0.040149201,0.002379079,-3.033923171,razo-mejia,wt
0.1,22,O2,0.166394736,0.005047092,-1.633923171,razo-mejia,wt
0.1,22,O3,0.933485313,0.017100097,2.566076829,razo-mejia,wt
0.1,60,O1,0.011235597,0.00176923,-4.03722528,razo-mejia,wt
0.1,60,O2,0.064999122,0.022391811,-2.63722528,razo-mejia,wt
0.1,60,O3,0.850404021,0.019149744,1.56277472,razo-mejia,wt
0.1,124,O1,0.006077924,0.001654286,-4.763162284,razo-mejia,wt
0.1,124,O2,0.026794416,0.001357822,-3.363162284,razo-mejia,wt
0.1,124,O3,0.75008936,0.028490168,0.836837716,razo-mejia,wt
0.1,260,O1,0.004331575,0.001280142,-5.503562349,razo-mejia,wt
0.1,260,O2,0.01420538,0.001297677,-4.103562349,razo-mejia,wt
0.1,260,O3,0.604735573,0.020849074,0.096437651,razo-mejia,wt
0.1,1220,O1,0.003078744,0.001034473,-7.049486856,razo-mejia,wt
0.1,1220,O2,0.005998169,0.000707789,-5.649486856,razo-mejia,wt
0.1,1220,O3,0.231150848,0.006919543,-1.449486856,razo-mejia,wt
0.1,1740,O1,0.004305661,0.000933935,-7.40452111,razo-mejia,wt
0.1,1740,O2,0.004915266,0.000850814,-6.00452111,razo-mejia,wt
0.1,1740,O3,0.17905187,0.006829869,-1.80452111,razo-mejia,wt
1,22,O3,0.975618362,0.010353911,2.637857211,razo-mejia,wt
1,60,O3,0.897701163,0.012063277,1.634555102,razo-mejia,wt
1,124,O3,0.827469231,0.019597199,0.908618099,razo-mejia,wt
1,260,O3,0.683017225,0.014393458,0.168218033,razo-mejia,wt
1,1220,O3,0.296322432,0.008278545,-1.377706473,razo-mejia,wt
1,1740,O3,0.226977611,0.009367655,-1.732740728,razo-mejia,wt
5,22,O1,0.090399777,0.003920218,-2.294819109,razo-mejia,wt
5,22,O2,0.390561414,0.02619494,-0.894819109,razo-mejia,wt
5,22,O3,0.986924698,0.005940434,3.305180891,razo-mejia,wt
5,60,O1,0.03046887,0.002098352,-3.298121217,razo-mejia,wt
5,60,O2,0.124645395,0.013672529,-1.898121217,razo-mejia,wt
5,60,O3,0.948980472,0.009885181,2.301878783,razo-mejia,wt
5,124,O1,0.018525454,0.002060437,-4.024058221,razo-mejia,wt
5,124,O2,0.078981763,0.007436412,-2.624058221,razo-mejia,wt
5,124,O3,0.916983355,0.017805164,1.575941779,razo-mejia,wt
5,260,O1,0.013984959,0.001892308,-4.764458286,razo-mejia,wt
5,260,O2,0.042518254,0.003827575,-3.364458286,razo-mejia,wt
5,260,O3,0.817384414,0.025976612,0.835541714,razo-mejia,wt
5,1220,O1,0.007698882,0.001553712,-6.310382793,razo-mejia,wt
5,1220,O2,0.014172053,0.001379154,-4.910382793,razo-mejia,wt
5,1220,O3,0.40618197,0.021272972,-0.710382793,razo-mejia,wt
5,1740,O1,0.008724829,0.001412593,-6.665417047,razo-mejia,wt
5,1740,O2,0.012007987,0.001190144,-5.265417047,razo-mejia,wt
5,1740,O3,0.318876661,0.021406196,-1.065417047,razo-mejia,wt
10,22,O1,0.147404867,0.011874609,-1.477479827,razo-mejia,wt
10,22,O2,0.625130979,0.041231913,-0.077479827,razo-mejia,wt
10,22,O3,0.990521386,0.011112829,4.122520173,razo-mejia,wt
10,60,O1,0.052827483,0.004593404,-2.480781936,razo-mejia,wt
10,60,O2,0.213180498,0.021456746,-1.080781936,razo-mejia,wt
10,60,O3,0.979536607,0.01060983,3.119218064,razo-mejia,wt
10,124,O1,0.034671888,0.003195088,-3.206718939,razo-mejia,wt
10,124,O2,0.144056095,0.012201126,-1.806718939,razo-mejia,wt
10,124,O3,0.947285086,0.020268392,2.393281061,razo-mejia,wt
10,260,O1,0.024461392,0.001456561,-3.947119005,razo-mejia,wt
10,260,O2,0.077224947,0.005562708,-2.547119005,razo-mejia,wt
10,260,O3,0.920372264,0.056746601,1.652880995,razo-mejia,wt
10,1220,O1,0.01306351,0.000915537,-5.493043512,razo-mejia,wt
10,1220,O2,0.02507992,0.001883334,-4.093043512,razo-mejia,wt
10,1220,O3,0.562547128,0.061960399,0.106956488,razo-mejia,wt
10,1740,O1,0.013785031,0.001160879,-5.848077766,razo-mejia,wt
10,1740,O2,0.019578253,0.002437446,-4.448077766,razo-mejia,wt
10,1740,O3,0.435610972,0.053208542,-0.248077766,razo-mejia,wt
25,22,O1,0.360769493,0.020134369,-0.07819845,razo-mejia,wt
25,22,O2,0.888933763,0.037596668,1.32180155,razo-mejia,wt
25,22,O3,0.983757664,0.010716315,5.52180155,razo-mejia,wt
25,60,O1,0.143850638,0.01013184,-1.081500559,razo-mejia,wt
25,60,O2,0.465018367,0.031704046,0.318499441,razo-mejia,wt
25,60,O3,0.962125479,0.022832148,4.518499441,razo-mejia,wt
25,124,O1,0.100883383,0.007356273,-1.807437563,razo-mejia,wt
25,124,O2,0.374512501,0.023112595,-0.407437563,razo-mejia,wt
25,124,O3,0.977893496,0.01429891,3.792562437,razo-mejia,wt
25,260,O1,0.065160981,0.003290573,-2.547837628,razo-mejia,wt
25,260,O2,0.238456473,0.018420152,-1.147837628,razo-mejia,wt
25,260,O3,0.93610072,0.024670611,3.052162372,razo-mejia,wt
25,1220,O1,0.033821975,0.001856259,-4.093762135,razo-mejia,wt
25,1220,O2,0.07762736,0.008137393,-2.693762135,razo-mejia,wt
25,1220,O3,0.740092788,0.05596694,1.506237865,razo-mejia,wt
25,1740,O1,0.0299972,0.003248609,-4.448796389,razo-mejia,wt
25,1740,O2,0.061510564,0.008915358,-3.048796389,razo-mejia,wt
25,1740,O3,0.610568911,0.056603566,1.151203611,razo-mejia,wt
50,22,O1,0.64028627,0.012477757,0.969012955,razo-mejia,wt
50,22,O2,0.944456897,0.019787714,2.369012955,razo-mejia,wt
50,22,O3,0.999270385,0.020209813,6.569012955,razo-mejia,wt
50,60,O1,0.319723513,0.020695093,-0.034289154,razo-mejia,wt
50,60,O2,0.706834846,0.032277711,1.365710846,razo-mejia,wt
50,60,O3,0.998294145,0.020135242,5.565710846,razo-mejia,wt
50,124,O1,0.214847029,0.016576896,-0.760226158,razo-mejia,wt
50,124,O2,0.618895223,0.030081112,0.639773842,razo-mejia,wt
50,124,O3,1.006814604,0.029377288,4.839773842,razo-mejia,wt
50,260,O1,0.129282236,0.013311474,-1.500626223,razo-mejia,wt
50,260,O2,0.464435384,0.014294304,-0.100626223,razo-mejia,wt
50,260,O3,0.976884924,0.028898952,4.099373777,razo-mejia,wt
50,1220,O1,0.059670779,0.007027344,-3.04655073,razo-mejia,wt
50,1220,O2,0.172023363,0.009146645,-1.64655073,razo-mejia,wt
50,1220,O3,0.852513518,0.053421995,2.55344927,razo-mejia,wt
50,1740,O1,0.05366057,0.008774985,-3.401584984,razo-mejia,wt
50,1740,O2,0.128601398,0.009355555,-2.001584984,razo-mejia,wt
50,1740,O3,0.748029958,0.075263299,2.198415016,razo-mejia,wt
75,22,O1,0.738334261,0.022059674,1.516787805,razo-mejia,wt
75,22,O2,0.970959082,0.01547171,2.916787805,razo-mejia,wt
75,22,O3,1.013418171,0.006333011,7.116787805,razo-mejia,wt
75,60,O1,0.443053062,0.021785413,0.513485696,razo-mejia,wt
75,60,O2,0.792147122,0.039745191,1.913485696,razo-mejia,wt
75,60,O3,1.024073936,0.008122404,6.113485696,razo-mejia,wt
75,124,O1,0.336031146,0.016022511,-0.212451307,razo-mejia,wt
75,124,O2,0.723303054,0.030032595,1.187548693,razo-mejia,wt
75,124,O3,1.011096078,0.022593128,5.387548693,razo-mejia,wt
75,260,O1,0.221162995,0.017844274,-0.952851373,razo-mejia,wt
75,260,O2,0.579559133,0.026418388,0.447148627,razo-mejia,wt
75,260,O3,0.997423727,0.017625127,4.647148627,razo-mejia,wt
75,1220,O1,0.10580215,0.011511787,-2.498775879,razo-mejia,wt
75,1220,O2,0.243511961,0.021740274,-1.098775879,razo-mejia,wt
75,1220,O3,0.90631934,0.032159002,3.101224121,razo-mejia,wt
75,1740,O1,0.095720466,0.014083438,-2.853810134,razo-mejia,wt
75,1740,O2,0.183344825,0.029336248,-1.453810134,razo-mejia,wt
75,1740,O3,0.812160992,0.054375679,2.746189866,razo-mejia,wt
100,22,O1,0.856198895,0.021318643,1.864583807,razo-mejia,wt
100,22,O2,0.983990463,0.010564067,3.264583807,razo-mejia,wt
100,22,O3,0.956435975,0.037368158,7.464583807,razo-mejia,wt
100,60,O1,0.559393723,0.021830863,0.861281698,razo-mejia,wt
100,60,O2,0.87457938,0.019043339,2.261281698,razo-mejia,wt
100,60,O3,0.959974965,0.035587019,6.461281698,razo-mejia,wt
100,124,O1,0.428210189,0.023715365,0.135344695,razo-mejia,wt
100,124,O2,0.811862073,0.017311935,1.535344695,razo-mejia,wt
100,124,O3,0.953917859,0.031554049,5.735344695,razo-mejia,wt
100,260,O1,0.286791214,0.019404745,-0.605055371,razo-mejia,wt
100,260,O2,0.699709462,0.019521019,0.794944629,razo-mejia,wt
100,260,O3,0.984004478,0.021422935,4.994944629,razo-mejia,wt
100,1220,O1,0.130145617,0.013946962,-2.150979877,razo-mejia,wt
100,1220,O2,0.34097216,0.018126882,-0.750979877,razo-mejia,wt
100,1220,O3,0.918442405,0.025639575,3.449020123,razo-mejia,wt
100,1740,O1,0.115137566,0.015898162,-2.506014132,razo-mejia,wt
100,1740,O2,0.25722733,0.02431801,-1.106014132,razo-mejia,wt
100,1740,O3,0.835532577,0.044232712,3.093985868,razo-mejia,wt
250,22,O1,0.981309028,0.038683277,2.712377713,razo-mejia,wt
250,22,O2,1.008521535,0.007326972,4.112377713,razo-mejia,wt
250,22,O3,0.993526749,0.010193814,8.312377713,razo-mejia,wt
250,60,O1,0.769301432,0.017065823,1.709075605,razo-mejia,wt
250,60,O2,0.937862348,0.013017461,3.109075605,razo-mejia,wt
250,60,O3,1.015023886,0.009079111,7.309075605,razo-mejia,wt
250,124,O1,0.664286123,0.024463687,0.983138601,razo-mejia,wt
250,124,O2,0.920317605,0.014737734,2.383138601,razo-mejia,wt
250,124,O3,0.996116329,0.010928266,6.583138601,razo-mejia,wt
250,260,O1,0.524677929,0.020295263,0.242738536,razo-mejia,wt
250,260,O2,0.866134196,0.016221671,1.642738536,razo-mejia,wt
250,260,O3,1.003547047,0.023222367,5.842738536,razo-mejia,wt
250,1220,O1,0.278641286,0.016959847,-1.303185971,razo-mejia,wt
250,1220,O2,0.582106194,0.025524847,0.096814029,razo-mejia,wt
250,1220,O3,0.978225987,0.01732861,4.296814029,razo-mejia,wt
250,1740,O1,0.269923452,0.021117419,-1.658220225,razo-mejia,wt
250,1740,O2,0.515622172,0.03604295,-0.258220225,razo-mejia,wt
250,1740,O3,0.926435124,0.029497595,3.941779775,razo-mejia,wt
500,22,O1,1.006592777,0.041802647,3.102885703,razo-mejia,wt
500,22,O2,1.018738746,0.011486987,4.502885703,razo-mejia,wt
500,22,O3,0.998935788,0.009130632,8.702885703,razo-mejia,wt
500,60,O1,0.852913617,0.017646191,2.099583594,razo-mejia,wt
500,60,O2,0.955314866,0.005113856,3.499583594,razo-mejia,wt
500,60,O3,0.996926182,0.006471218,7.699583594,razo-mejia,wt
500,124,O1,0.767081877,0.011595958,1.373646591,razo-mejia,wt
500,124,O2,0.942223156,0.01107585,2.773646591,razo-mejia,wt
500,124,O3,0.987330149,0.018740561,6.973646591,razo-mejia,wt
500,260,O1,0.649440369,0.012808327,0.633246525,razo-mejia,wt
500,260,O2,0.897216295,0.015962016,2.033246525,razo-mejia,wt
500,260,O3,1.006715174,0.019559451,6.233246525,razo-mejia,wt
500,1220,O1,0.369874173,0.01114058,-0.912677982,razo-mejia,wt
500,1220,O2,0.666960834,0.015890136,0.487322018,razo-mejia,wt
500,1220,O3,1.004005816,0.034498263,4.687322018,razo-mejia,wt
500,1740,O1,0.352876232,0.015921168,-1.267712236,razo-mejia,wt
500,1740,O2,0.609870683,0.019021336,0.132287764,razo-mejia,wt
500,1740,O3,0.986518407,0.033796139,4.332287764,razo-mejia,wt
1000,22,O1,1.020967141,0.044134446,3.331681767,razo-mejia,wt
1000,22,O2,1.010094987,0.013064838,4.731681767,razo-mejia,wt
1000,22,O3,0.990429687,0.011235131,8.931681767,razo-mejia,wt
1000,60,O1,0.90500998,0.023692024,2.328379658,razo-mejia,wt
1000,60,O2,0.961052603,0.01315011,3.728379658,razo-mejia,wt
1000,60,O3,1.007729947,0.016457235,7.928379658,razo-mejia,wt
1000,124,O1,0.811209297,0.018667104,1.602442655,razo-mejia,wt
1000,124,O2,0.943642982,0.011539169,3.002442655,razo-mejia,wt
1000,124,O3,1.007457281,0.022879787,7.202442655,razo-mejia,wt
1000,260,O1,0.683982104,0.0277017,0.862042589,razo-mejia,wt
1000,260,O2,0.901138732,0.014689536,2.262042589,razo-mejia,wt
1000,260,O3,0.968283235,0.038586166,6.462042589,razo-mejia,wt
1000,1220,O1,0.385943284,0.021532473,-0.683881918,razo-mejia,wt
1000,1220,O2,0.709745203,0.010758238,0.716118082,razo-mejia,wt
1000,1220,O3,1.008312988,0.039363569,4.916118082,razo-mejia,wt
1000,1740,O1,0.3694444,0.028520829,-1.038916172,razo-mejia,wt
1000,1740,O2,0.699040889,0.021846606,0.361083828,razo-mejia,wt
1000,1740,O3,0.9804745,0.033139854,4.561083828,razo-mejia,wt
5000,22,O1,1.042104286,0.05159719,3.535980868,razo-mejia,wt
5000,22,O2,0.987724547,0.020567461,4.935980868,razo-mejia,wt
5000,60,O1,0.944141987,0.028274589,2.532678759,razo-mejia,wt
5000,60,O2,0.938720009,0.015930857,3.932678759,razo-mejia,wt
5000,124,O1,0.858149894,0.019997441,1.806741755,razo-mejia,wt
5000,124,O2,0.927275998,0.022691077,3.206741755,razo-mejia,wt
5000,260,O1,0.751840532,0.0242041,1.06634169,razo-mejia,wt
5000,260,O2,0.879471488,0.032251339,2.46634169,razo-mejia,wt
5000,1220,O1,0.461264011,0.01205915,-0.479582817,razo-mejia,wt
5000,1220,O2,0.738157341,0.026661427,0.920417183,razo-mejia,wt
5000,1740,O1,0.447906703,0.016403975,-0.834617071,razo-mejia,wt
5000,1740,O2,0.738807729,0.028892278,0.565382929,razo-mejia,wt
0,22.42,O3,0.7985,,2.542661189,garcia,wt
0,59.34,O3,0.6524,,1.569330991,garcia,wt
0,124,O3,0.621,,0.832333041,garcia,wt
0,255.3,O3,0.4773,,0.110175282,garcia,wt
0,1213,O3,0.2494,,-1.448237303,garcia,wt
0,1735,O3,0.1743,,-1.806148086,garcia,wt
0,22.42,O2,0.1756,,-1.657338811,garcia,wt
0,59.34,O2,0.04519,,-2.630669009,garcia,wt
0,124,O2,0.02151,,-3.367666959,garcia,wt
0,255.3,O2,0.01241,,-4.089824718,garcia,wt
0,1213,O2,0.0057,,-5.648237303,garcia,wt
0,1735,O2,0.004626,,-6.006148086,garcia,wt
0,22.42,O1,0.03886,,-3.057338811,garcia,wt
0,59.34,O1,0.008902,,-4.030669009,garcia,wt
0,124,O1,0.004721,,-4.767666959,garcia,wt
0,225.3,O1,0.002774,,-5.364818241,garcia,wt
0,1213,O1,0.001508,,-7.048237303,garcia,wt
0,1735,O1,0.0011,,-7.406148086,garcia,wt
0,22.42,Oid,0.007554,,-4.757338811,garcia,wt
0,59.34,Oid,0.00162,,-5.730669009,garcia,wt
0,124,Oid,0.001004,,-6.467666959,garcia,wt
0,255.3,Oid,0.0006235,,-7.189824718,garcia,wt
0,1213,Oid,0.0002914,,-8.748237303,garcia,wt
0,1735,Oid,0.0001799,,-9.106148086,garcia,wt
0,2.436,O3,1.039,,4.762257256,brewster,wt
0,3.692,O3,1.168,,4.34644629,brewster,wt
0,4.947,O3,1.108,,4.053833274,brewster,wt
0,6.68,O3,1.355,,3.753496619,brewster,wt
0,17.21,O3,1.309,,2.807123996,brewster,wt
0,72.31,O3,1.123,,1.371652174,brewster,wt
0,97.59,O3,0.9714,,1.071839577,brewster,wt
0,134.6,O3,0.8791,,0.750307189,brewster,wt
0,224.5,O3,0.7964,,0.238738899,brewster,wt
0,311.5,O3,0.7508,,-0.088784732,brewster,wt
0,356.9,O3,0.7342,,-0.224841024,brewster,wt
0,408.5,O3,0.6977,,-0.359877308,brewster,wt
0,443.1,O3,0.6235,,-0.441180872,brewster,wt
0,526.7,O3,0.7654,,-0.61401652,brewster,wt
0,681.8,O3,0.7202,,-0.872121753,brewster,wt
0,4.468,O2,0.4378,,-0.044326275,brewster,wt
0,9.161,O2,0.3282,,-0.762340737,brewster,wt
0,13.24,O2,0.281,,-1.130627944,brewster,wt
0,20.54,O2,0.2394,,-1.569759598,brewster,wt
0,32.82,O2,0.1234,,-2.038423479,brewster,wt
0,49.31,O2,0.09993,,-2.445512294,brewster,wt
0,71.11,O2,0.08253,,-2.811613368,brewster,wt
0,96.98,O2,0.0533,,-3.121890165,brewster,wt
0,156.5,O2,0.04818,,-3.600441404,brewster,wt
0,221.3,O2,0.02397,,-3.946904641,brewster,wt
0,293.9,O2,0.01562,,-4.230624967,brewster,wt
0,358,O2,0.01876,,-4.42791838,brewster,wt
0,444.6,O2,0.01036,,-4.644560395,brewster,wt
0,3.416,O1,0.1989,,-1.17585567,brewster,wt
0,7.617,O1,0.1427,,-1.977767985,brewster,wt
0,30.23,O1,0.0644,,-3.356220202,brewster,wt
0,68.84,O1,0.02804,,-4.179170365,brewster,wt
0,101.8,O1,0.01095,,-4.570395498,brewster,wt
0,151.8,O1,0.009284,,-4.969949259,brewster,wt
0,210.1,O1,0.006787,,-5.294969002,brewster,wt
0,293,O1,0.003126,,-5.627558003,brewster,wt
0,366,O1,0.003147,,-5.850018727,brewster,wt
0,538.3,O1,0.002153,,-6.235801419,brewster,wt
0,3.006,Oid,0.08223,,-2.747995685,brewster,wt
0,5.953,Oid,0.04416,,-3.431280688,brewster,wt
0,10.98,Oid,0.01884,,-4.04346083,brewster,wt
0,24.64,Oid,0.01001,,-4.851756532,brewster,wt
0,260,O2,0.38785176,0.030797849,-0.536738399,chure,Q21A-F164T
0.1,260,O2,0.409469344,0.022826884,-0.522170272,chure,Q21A-F164T
5,260,O2,0.4794771,0.019131571,0.140035987,chure,Q21A-F164T
10,260,O2,0.550042264,0.020485736,0.676456825,chure,Q21A-F164T
25,260,O2,0.742470386,0.05326631,1.717297831,chure,Q21A-F164T
50,260,O2,0.852141614,0.030612545,2.634515522,chure,Q21A-F164T
75,260,O2,0.940677358,0.023718515,3.161827553,chure,Q21A-F164T
100,260,O2,0.932121796,0.038968979,3.5142108,chure,Q21A-F164T
250,260,O2,0.999458374,0.021089125,4.438025414,chure,Q21A-F164T
500,260,O2,1.009371788,0.017051423,4.901190375,chure,Q21A-F164T
1000,260,O2,1.023752625,0.021818104,5.186628105,chure,Q21A-F164T
5000,260,O2,1.006167265,0.021810926,5.451966455,chure,Q21A-F164T
0,260,O2,0.845516793,0.050655796,1.944781416,chure,Q21A-Q294K
0.1,260,O2,0.853580509,0.038339361,1.945284099,chure,Q21A-Q294K
5,260,O2,0.819592982,0.015699082,1.96971027,chure,Q21A-Q294K
10,260,O2,0.83147421,0.012815487,1.994227858,chure,Q21A-Q294K
25,260,O2,0.85837039,0.020346379,2.065425014,chure,Q21A-Q294K
50,260,O2,0.839991955,0.019110813,2.176845294,chure,Q21A-Q294K
75,260,O2,0.879373468,0.020728235,2.28018061,chure,Q21A-Q294K
100,260,O2,0.869486993,0.025178723,2.37637912,chure,Q21A-Q294K
250,260,O2,0.915776601,0.030505873,2.840977616,chure,Q21A-Q294K
500,260,O2,0.975827361,0.023703083,3.354999176,chure,Q21A-Q294K
1000,260,O2,1.00512345,0.040008794,3.945815432,chure,Q21A-Q294K
5000,260,O2,1.00018894,0.029730971,5.060678071,chure,Q21A-Q294K
0,260,O2,0.353020402,0.026100345,-0.822330157,chure,Q21A-Q294V
0.1,260,O2,0.374815456,0.021828857,-0.820163434,chure,Q21A-Q294V
5,260,O2,0.385046652,0.020622132,-0.712049276,chure,Q21A-Q294V
10,260,O2,0.384583641,0.015113083,-0.599701105,chure,Q21A-Q294V
25,260,O2,0.427239065,0.027263765,-0.26935276,chure,Q21A-Q294V
50,260,O2,0.523446404,0.030012124,0.215067902,chure,Q21A-Q294V
75,260,O2,0.612176947,0.034599723,0.609553578,chure,Q21A-Q294V
100,260,O2,0.60002028,0.043979907,0.932036108,chure,Q21A-Q294V
250,260,O2,0.91106979,0.031788212,2.075289755,chure,Q21A-Q294V
500,260,O2,0.972325097,0.051620442,2.898457276,chure,Q21A-Q294V
1000,260,O2,1.01775678,0.036583119,3.560529847,chure,Q21A-Q294V
5000,260,O2,0.990207508,0.051191337,4.370901802,chure,Q21A-Q294V
0,260,O2,-0.005372653,0.047453474,-4.959887188,chure,Q21M-F164T
0.1,260,O2,0.005944988,0.011176737,-4.945319061,chure,Q21M-F164T
5,260,O2,0.01128229,0.011365309,-4.283112802,chure,Q21M-F164T
10,260,O2,0.0189413,0.010649978,-3.746691964,chure,Q21M-F164T
25,260,O2,0.089611913,0.016321285,-2.705850957,chure,Q21M-F164T
50,260,O2,0.182019074,0.02686757,-1.788633267,chure,Q21M-F164T
75,260,O2,0.274936334,0.036133688,-1.261321236,chure,Q21M-F164T
100,260,O2,0.330209698,0.044280786,-0.908937989,chure,Q21M-F164T
250,260,O2,0.518552326,0.040537773,0.014876626,chure,Q21M-F164T
500,260,O2,0.730977377,0.035462947,0.478041586,chure,Q21M-F164T
1000,260,O2,0.725174299,0.031261936,0.763479317,chure,Q21M-F164T
5000,260,O2,0.751001858,0.038651145,1.028817667,chure,Q21M-F164T
0,260,O2,0.080480558,0.045536159,-2.478367373,chure,Q21M-Q294K
0.1,260,O2,0.083300873,0.004203664,-2.47786469,chure,Q21M-Q294K
5,260,O2,0.081801125,0.007638896,-2.453438518,chure,Q21M-Q294K
10,260,O2,0.08558253,0.009571596,-2.428920931,chure,Q21M-Q294K
25,260,O2,0.101054516,0.004826316,-2.357723775,chure,Q21M-Q294K
50,260,O2,0.126313998,0.0089474,-2.246303495,chure,Q21M-Q294K
75,260,O2,0.117794613,0.004579765,-2.142968179,chure,Q21M-Q294K
100,260,O2,0.127484149,0.008728911,-2.046769669,chure,Q21M-Q294K
250,260,O2,0.173325763,0.011203326,-1.582171173,chure,Q21M-Q294K
500,260,O2,0.267826564,0.017545303,-1.068149613,chure,Q21M-Q294K
1000,260,O2,0.369724238,0.028537665,-0.477333357,chure,Q21M-Q294K
5000,260,O2,0.641615376,0.039235773,0.637529282,chure,Q21M-Q294K
0,260,O2,0.002147136,0.047123886,-5.245478946,chure,Q21M-Q294V
0.1,260,O2,0.020597265,0.009079443,-5.243312223,chure,Q21M-Q294V
5,260,O2,0.007720921,0.009286065,-5.135198065,chure,Q21M-Q294V
10,260,O2,0.010334312,0.00705457,-5.022849894,chure,Q21M-Q294V
25,260,O2,0.022607933,0.007029791,-4.692501549,chure,Q21M-Q294V
50,260,O2,0.035410293,0.00846036,-4.208080887,chure,Q21M-Q294V
75,260,O2,0.024889087,0.009561516,-3.813595211,chure,Q21M-Q294V
100,260,O2,0.042097036,0.012401485,-3.49111268,chure,Q21M-Q294V
250,260,O2,0.121418836,0.016588143,-2.347859034,chure,Q21M-Q294V
500,260,O2,0.234972438,0.015826026,-1.524691513,chure,Q21M-Q294V
