date,username,phenotype,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
20191022,mrazomej,wt,O2,R1220,0.0,9993.423658774527,1220.0,0.11545009520384988
20191022,mrazomej,wt,O2,R124,0.0,10964.464858410427,124.0,0.2513135181463945
20191022,mrazomej,wt,O2,R60,0.0,11941.39024207098,60.0,0.3880002278692663
20191022,mrazomej,wt,O2,R22,0.0,14260.608553383025,22.0,0.712494120037828
20191022,mrazomej,wt,O2,delta,0.0,16315.466649361551,0.0,1.0
20191022,mrazomej,wt,O2,R260,0.0,13444.692985531115,260.0,0.5983351307776033
20191022,mrazomej,wt,O2,R1740,0.0,9727.309732337544,1740.0,0.07821671215896392
20191022,mrazomej,wt,O2,R260,0.1,13699.464665182915,260.0,0.32042832591511095
20191022,mrazomej,wt,O2,delta,0.1,23823.91278973971,0.0,1.0
20191022,mrazomej,wt,O2,R22,0.1,14665.133145217933,22.0,0.3852457794212135
20191022,mrazomej,wt,O2,R1740,0.1,10380.159989909249,1740.0,0.09763046007368073
20191022,mrazomej,wt,O2,R1220,0.1,9900.11266719642,1220.0,0.06540879636199003
20191022,mrazomej,wt,O2,R60,0.1,12072.035251892601,60.0,0.21119225524354518
20191022,mrazomej,wt,O2,R124,0.1,11353.445967739113,124.0,0.16295921411341197
20191022,mrazomej,wt,O2,R1740,5.0,10438.492684686631,1740.0,0.09690706954764278
20191022,mrazomej,wt,O2,R260,5.0,13369.331446477263,260.0,0.3163379220827337
20191022,mrazomej,wt,O2,delta,5.0,22500.69695309317,0.0,1.0
20191022,mrazomej,wt,O2,R60,5.0,12238.291998487904,60.0,0.23165740210370495
20191022,mrazomej,wt,O2,R22,5.0,16506.237812630603,22.0,0.5511969826430066
20191022,mrazomej,wt,O2,R124,5.0,12030.60870200853,124.0,0.21610822778613714
20191022,mrazomej,wt,O2,R1220,5.0,9843.742146330223,1220.0,0.052378308914793704
20191022,mrazomej,wt,O2,R22,10.0,16618.7581093578,22.0,0.4914272780641208
20191022,mrazomej,wt,O2,R260,10.0,14567.09065020509,260.0,0.35642644101129684
20191022,mrazomej,wt,O2,R1220,10.0,10692.50764924979,1220.0,0.10147676774620357
20191022,mrazomej,wt,O2,R1740,10.0,10734.469972705307,1740.0,0.10423791150071608
20191022,mrazomej,wt,O2,R124,10.0,13508.37050667837,124.0,0.286762078522544
20191022,mrazomej,wt,O2,delta,10.0,24347.762810271524,0.0,1.0
20191022,mrazomej,wt,O2,R60,10.0,13171.923156124347,60.0,0.2646236594788674
20191022,mrazomej,wt,O2,R22,25.0,19158.3952319487,22.0,0.6180813419259724
20191022,mrazomej,wt,O2,R260,25.0,14849.700535271833,260.0,0.349586794627026
20191022,mrazomej,wt,O2,R1220,25.0,11353.628115076408,1220.0,0.13173047203618007
20191022,mrazomej,wt,O2,R1740,25.0,11839.65526227602,1740.0,0.16201705487599102
20191022,mrazomej,wt,O2,R124,25.0,14589.315983153103,124.0,0.33336103778733217
20191022,mrazomej,wt,O2,delta,25.0,25287.275364375753,0.0,1.0
20191022,mrazomej,wt,O2,R60,25.0,15079.904240006277,60.0,0.3639318443092152
20191022,mrazomej,wt,O2,R124,50.0,9542.363645631509,124.0,0.007443339555153914
20191022,mrazomej,wt,O2,R1740,50.0,12513.265810047104,1740.0,0.20019050840012143
20191022,mrazomej,wt,O2,delta,50.0,24841.103173123658,0.0,1.0
20191022,mrazomej,wt,O2,R60,50.0,17027.707908295848,60.0,0.49307996931010273
20191022,mrazomej,wt,O2,R260,50.0,14640.265244949966,260.0,0.33818667808988234
20191022,mrazomej,wt,O2,R22,50.0,19220.128411014553,22.0,0.635320548578662
20191022,mrazomej,wt,O2,R1220,50.0,12797.883283956156,1220.0,0.21865601458772344
20191022,mrazomej,wt,O2,R1220,75.0,12702.905161786584,1220.0,0.24315046512568958
20191022,mrazomej,wt,O2,R260,75.0,15728.952005265308,260.0,0.4372120702235497
20191022,mrazomej,wt,O2,R22,75.0,22724.08669003477,22.0,0.8858128801308799
20191022,mrazomej,wt,O2,delta,75.0,24504.63247842827,0.0,1.0
20191022,mrazomej,wt,O2,R124,75.0,19612.129522277843,124.0,0.686241811271798
20191022,mrazomej,wt,O2,R1740,75.0,12890.82569166426,1740.0,0.2552018845336517
20191022,mrazomej,wt,O2,R60,75.0,17646.97837130971,60.0,0.560215875011547
20191022,mrazomej,wt,O2,R124,100.0,21658.409854507994,124.0,0.8349509531474598
20191022,mrazomej,wt,O2,R1220,100.0,15118.591905475685,1220.0,0.40750537831890027
20191022,mrazomej,wt,O2,R60,100.0,16835.12422267457,60.0,0.5196987373321196
20191022,mrazomej,wt,O2,R1740,100.0,14677.803850664543,1740.0,0.3786952638883922
20191022,mrazomej,wt,O2,delta,100.0,24183.621911060083,0.0,1.0
20191022,mrazomej,wt,O2,R260,100.0,14839.90320873681,260.0,0.38929015411783563
20191022,mrazomej,wt,O2,R22,100.0,19726.915624512945,22.0,0.7087075824829225
20191022,mrazomej,wt,O2,R60,250.0,21870.05422896796,60.0,0.859413081630581
20191022,mrazomej,wt,O2,R1220,250.0,16894.5193636396,1220.0,0.5267817617297857
20191022,mrazomej,wt,O2,R124,250.0,24418.982051429834,124.0,1.0298175203222992
20191022,mrazomej,wt,O2,R22,250.0,22110.16505288283,22.0,0.875465301631656
20191022,mrazomej,wt,O2,delta,250.0,23972.96839280778,0.0,1.0
20191022,mrazomej,wt,O2,R260,250.0,20900.113337729515,260.0,0.7945692552659746
20191022,mrazomej,wt,O2,R1740,250.0,17733.22541928394,1740.0,0.5828520958443785
20191022,mrazomej,wt,O2,R1740,500.0,19673.227366409003,1740.0,1.5114744946138174
20191022,mrazomej,wt,O2,R22,500.0,24316.76785086988,22.0,2.187390864537399
20191022,mrazomej,wt,O2,delta,500.0,16159.401354506157,0.0,1.0
20191022,mrazomej,wt,O2,R260,500.0,22240.79239812827,260.0,1.8852107076585718
20191022,mrazomej,wt,O2,R124,500.0,24695.785838936517,124.0,2.2425609364872474
20191022,mrazomej,wt,O2,R60,500.0,23940.554125170987,60.0,2.132628982598225
20191022,mrazomej,wt,O2,R1220,500.0,18059.041015157243,1220.0,1.2765126196028462
20191022,mrazomej,wt,O2,R60,1000.0,23312.083911711823,60.0,1.2940970442605442
20191022,mrazomej,wt,O2,R260,1000.0,23115.89242083542,260.0,1.2761896275064484
20191022,mrazomej,wt,O2,R124,1000.0,22349.445461355575,124.0,1.2062320311703183
20191022,mrazomej,wt,O2,delta,1000.0,20089.99228520052,0.0,1.0
20191022,mrazomej,wt,O2,R1740,1000.0,20764.36485323303,1740.0,1.0615534882238888
20191022,mrazomej,wt,O2,R1220,1000.0,19321.56497244773,1220.0,0.9298616465310271
20191022,mrazomej,wt,O2,R22,1000.0,24581.977708234994,22.0,1.4100068492485045
20191022,mrazomej,wt,O2,R22,5000.0,22531.64974578655,22.0,0.8734124279487587
20191022,mrazomej,wt,O2,delta,5000.0,24471.180311694457,0.0,1.0
20191022,mrazomej,wt,O2,R1740,5000.0,18834.973572564493,1740.0,0.6321410246240049
20191022,mrazomej,wt,O2,R1220,5000.0,17559.477809810764,1220.0,0.5488930910225772
20191022,mrazomej,wt,O2,R260,5000.0,21913.34793598121,260.0,0.8330576502134008
20191022,mrazomej,wt,O2,R60,5000.0,22419.841114672545,60.0,0.8661150007280283
20191022,mrazomej,wt,O2,R124,5000.0,20090.718700709538,124.0,0.7140998912081183
